gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
Klebsiella pneumoniae acrA,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004041,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; phenicol antibiotic; beta-lactam antibiotic; rifamycin antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,2,Nudged,32.5815,99.03999999999999,Unknown taxonomy (chromosome) Klebsiella pneumoniae (chromosome),61.0,ARO:3004041|ID:2659|Name:Klebsiella_pneumoniae_acrA|NCBI:AJ318073.1,98.5,4.48,Klebsiella pneumoniae (chromosome): 14; Salmonella enterica (chromosome): 5; Klebsiella (chromosome): 12; ,15750638,3.87,0.28
LptD,App2_pt70_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3005059,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,rifamycin antibiotic; peptide antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.8723,100.0,Klebsiella pneumoniae (chromosome),167.0,ARO:3005059|ID:3799|Name:LptD|NCBI:CP007727.1,100.0,7.15,Klebsiella pneumoniae (chromosome): 5; Klebsiella (chromosome): 27; ,15750638,10.61,0.45
MexB,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000378,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,phenicol antibiotic; aminocoumarin antibiotic; beta-lactam antibiotic; fluoroquinolone antibiotic; peptide antibiotic; sulfonamide antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1,11.02,0.3,Klebsiella pneumoniae (chromosome): 1; Klebsiella (chromosome): 5; ,15750638,0.76,0.02
MuxB,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004074,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,beta-lactam antibiotic; tetracycline antibiotic; aminocoumarin antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,27.0,ARO:3004074|ID:2718|Name:MuxB|NCBI:AE004091.2,33.27,0.18,,15750638,1.71,0.01
MuxC,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004075,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,beta-lactam antibiotic; tetracycline antibiotic; aminocoumarin antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,18.0,ARO:3004075|ID:2720|Name:MuxC|NCBI:AE004091.2,7.97,0.04,,15750638,1.14,0.0
OXA-32,App2_pt70_mNGS,OXA beta-lactamase,ARO:3001426,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,10.0,ARO:3001426|ID:566|Name:OXA-32|NCBI:AF315351.1,36.35,0.89,,15750638,0.64,0.06
OmpA,App2_pt70_mNGS,General Bacterial Porin with reduced permeability to peptide antibiotics,ARO:3005044,peptide antibiotic,peptide antibiotic,reduced permeability to antibiotic,protein homolog,2,Nudged,66.4,99.625,Klebsiella (chromosome or plasmid),58.0,ARO:3005044|ID:3787|Name:OmpA|NCBI:FO834906.1,99.73,5.18,Klebsiella (chromosome or plasmid): 18; ,15750638,3.68,0.33
PC1 beta-lactamase (blaZ),App2_pt70_mNGS,BlaZ beta-lactamase,ARO:3000621,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,30.4965,98.84,Unknown taxonomy (chromosome or plasmid),28.0,ARO:3000621|ID:726|Name:PC1_beta-lactamase_(blaZ)|NCBI:CP000732.1,79.55,2.8,,15750638,1.78,0.18
PmrF,App2_pt70_mNGS,pmr phosphoethanolamine transferase,ARO:3003578,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,95.9752,84.35,,2.0,ARO:3003578|ID:2014|Name:PmrF|NCBI:U00096.1,5.57,0.11,,15750638,0.13,0.01
SAT-4,App2_pt70_mNGS,streptothricin acetyltransferase (SAT),ARO:3002897,nucleoside antibiotic,nucleoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945.1,11.05,0.22,,15750638,0.13,0.01
SHV-187,App2_pt70_mNGS,SHV beta-lactamase,ARO:3003154,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,37.0,ARO:3003154|ID:1557|Name:SHV-187|NCBI:LN515533.1,93.77,3.36,Klebsiella pneumoniae (chromosome): 2; ,15750638,2.35,0.21
SHV-188,App2_pt70_mNGS,SHV beta-lactamase,ARO:3003155,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,10.9966,100.0,Unknown taxonomy (chromosome or plasmid),,,,,,15750638,0.0,0.0
SHV-217,App2_pt70_mNGS,SHV beta-lactamase,ARO:3005250,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,50.5226,100.0,Unknown taxonomy (chromosome or plasmid),,,,,,15750638,0.0,0.0
SHV-22,App2_pt70_mNGS,SHV beta-lactamase,ARO:3001080,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,40.0,99.04,Unknown taxonomy (chromosome or plasmid),,,,,,15750638,0.0,0.0
Staphylococcus aureus FosB,App2_pt70_mNGS,fosfomycin thiol transferase,ARO:3004661,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3004661|ID:3362|Name:Staphylococcus_aureus_FosB|NCBI:AHLO01000073.1,13.1,0.26,,15750638,0.13,0.02
Staphylococcus aureus LmrS,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004572,macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,oxazolidinone antibiotic; phenicol antibiotic; diaminopyrimidine antibiotic; macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Nudged,21.2058,100.0,Staphylococcus aureus (chromosome),14.0,ARO:3004572|ID:3276|Name:Staphylococcus_aureus_LmrS|NCBI:CP000046.1,46.02,1.2,Staphylococcus aureus (chromosome): 7; ,15750638,0.89,0.08
Staphylococcus aureus mupA conferring resistance to mupirocin,App2_pt70_mNGS,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),ARO:3000521,mupirocin-like antibiotic,mupirocin-like antibiotic,antibiotic target alteration,protein homolog,0,,,,,10.0,ARO:3000521|ID:2270|Name:Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin|NCBI:X75439.1,17.82,0.3,,15750638,0.64,0.02
Staphylococcus aureus norA,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004667,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,19.5373,100.0,Unknown taxonomy (chromosome),11.0,ARO:3004667|ID:3367|Name:Staphylococcus_aureus_norA|NCBI:D90119.1,66.84,1.04,Staphylococcus aureus (chromosome): 1; ,15750638,0.7,0.07
TEM-126,App2_pt70_mNGS,TEM beta-lactamase,ARO:3000988,monobactam; cephalosporin; penam; penem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3000988|ID:12|Name:TEM-126|NCBI:AY628199.1,5.57,0.11,,15750638,0.13,0.01
TolC,App2_pt70_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000237,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,disinfecting agents and antiseptics; aminocoumarin antibiotic; phenicol antibiotic; beta-lactam antibiotic; rifamycin antibiotic; fluoroquinolone antibiotic; peptide antibiotic; tetracycline antibiotic; macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,11.0,ARO:3000237|ID:826|Name:TolC|NCBI:FJ768952.1,24.93,0.39,,15750638,0.7,0.02
YojI,App2_pt70_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003952,peptide antibiotic,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,9.0,ARO:3003952|ID:2424|Name:YojI|NCBI:U00096.3,32.24,0.1,,15750638,0.57,0.01
aad(6),App2_pt70_mNGS,ANT(6),ARO:3002628,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,ARO:3002628|ID:1562|Name:aad(6)|NCBI:AY712687.1,16.85,0.37,,15750638,0.38,0.02
aadA22,App2_pt70_mNGS,ANT(3''),ARO:3002619,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,34.0909,100.0,Unknown taxonomy (chromosome or plasmid),,,,,,15750638,0.0,0.0
aadA24,App2_pt70_mNGS,ANT(3''),ARO:3002621,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002621|ID:1682|Name:aadA24|NCBI:DQ677333.1,34.62,0.37,,15750638,0.13,0.02
abcA,App2_pt70_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003942,cephalosporin; penam; peptide antibiotic,beta-lactam antibiotic; peptide antibiotic,antibiotic efflux,protein homolog,1,Nudged,0.6194,100.0,,,,,,,15750638,0.0,0.0
acrB,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000216,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; phenicol antibiotic; beta-lactam antibiotic; rifamycin antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,77.0,ARO:3000216|ID:1104|Name:acrB|NCBI:U00096.3,74.38,1.85,Klebsiella pneumoniae (chromosome): 29; ,15750638,4.89,0.12
acrD,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000491,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Nudged,13.6802,95.07,Klebsiella pneumoniae (chromosome),27.0,ARO:3000491|ID:1427|Name:acrD|NCBI:AP009048.1,30.41,0.39,Klebsiella pneumoniae (chromosome): 4; Klebsiella (chromosome): 15; ,15750638,1.71,0.02
arlR,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000838,fluoroquinolone antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,30.9091,100.0,Unknown taxonomy (chromosome),8.0,ARO:3000838|ID:1390|Name:arlR|NCBI:CP023390.1,54.24,1.02,,15750638,0.51,0.06
arlS,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000839,fluoroquinolone antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3000839|ID:182|Name:arlS|NCBI:CP000253.1,24.63,0.29,Staphylococcus aureus (chromosome): 1; ,15750638,0.25,0.02
arnA,App2_pt70_mNGS,pmr phosphoethanolamine transferase,ARO:3002985,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,12.0,ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2,39.01,0.27,,15750638,0.76,0.02
baeR,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000828,aminoglycoside antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Strict,99.5851,91.67,Klebsiella pneumoniae (chromosome),16.0,ARO:3000828|ID:1337|Name:baeR|NCBI:AP009048.1,59.34,0.33,Klebsiella pneumoniae (chromosome): 7; Klebsiella (chromosome): 1; ,15750638,1.02,0.02
baeS,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000829,aminoglycoside antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,ARO:3000829|ID:986|Name:baeS|NCBI:AP009048.1,23.93,0.19,,15750638,0.76,0.01
catA8,App2_pt70_mNGS,chloramphenicol acetyltransferase (CAT),ARO:3004658,phenicol antibiotic,phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3004658|ID:3358|Name:catA8|NCBI:JQ922409.1,10.96,0.22,,15750638,0.13,0.01
chrB,App2_pt70_mNGS,non-erm 23S ribosomal RNA methyltransferase (G748),ARO:3001302,macrolide antibiotic; lincosamide antibiotic,macrolide antibiotic; lincosamide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,3.2028,100.0,,,,,,,15750638,0.0,0.0
cmx,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002703,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,2,Nudged,37.7551,99.375,Unknown taxonomy (chromosome or plasmid),12.0,ARO:3002703|ID:1366|Name:cmx|NCBI:AF024666.2,57.91,1.1,,15750638,0.76,0.07
cpxA,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000830,aminoglycoside antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,20.0,ARO:3000830|ID:152|Name:cpxA|NCBI:BA000007.3,41.63,1.08,,15750638,1.27,0.07
dfrC,App2_pt70_mNGS,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002865,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Nudged,49.3827,100.0,Staphylococcus epidermidis (chromosome or plasmid),4.0,ARO:3002865|ID:1397|Name:dfrC|NCBI:AE015929.1,49.38,0.88,Staphylococcus epidermidis (chromosome or plasmid): 1; ,15750638,0.25,0.06
dfrE,App2_pt70_mNGS,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002875,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Nudged,33.9394,98.21,Enterococcus faecalis (chromosome),2.0,ARO:3002875|ID:1544|Name:dfrE|NCBI:AIIS01000002.1,37.58,0.59,Enterococcus faecalis (chromosome): 2; ,15750638,0.13,0.04
efrA,App2_pt70_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003948,macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic,rifamycin antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,8.0,ARO:3003948|ID:2421|Name:efrA|NCBI:NZ_PTWF01000025.1,43.46,0.65,Enterococcus faecalis (chromosome): 8; ,15750638,0.51,0.04
efrB,App2_pt70_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003949,macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic,rifamycin antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3003949|ID:2422|Name:efrB|NCBI:HG970103.1,10.77,0.22,,15750638,0.25,0.01
emeA,App2_pt70_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3003551,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Nudged,5.0761,100.0,,12.0,ARO:3003551|ID:618|Name:emeA|NCBI:AB091338.1,30.63,0.72,Enterococcus faecalis (chromosome): 2; ,15750638,0.76,0.05
emrR,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000516,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,98.8701,92.57,Klebsiella pneumoniae (chromosome or plasmid),,,,,Klebsiella pneumoniae (chromosome): 1; Klebsiella pneumoniae (chromosome or plasmid): 1; Klebsiella (chromosome or plasmid): 2; ,15750638,0.0,0.0
eptA,App2_pt70_mNGS,pmr phosphoethanolamine transferase,ARO:3003576,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4.0,ARO:3003576|ID:516|Name:eptA|NCBI:AP009048.1,9.91,0.08,,15750638,0.25,0.01
eptB,App2_pt70_mNGS,pmr phosphoethanolamine transferase,ARO:3005047,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,4,Nudged,80.6957,99.28666666666668,Unknown taxonomy (chromosome) Klebsiella pneumoniae (chromosome),113.0,ARO:3005047|ID:3791|Name:eptB|NCBI:FO203501.1,94.9,6.22,Klebsiella pneumoniae (chromosome): 27; ,15750638,7.18,0.4
fosA5,App2_pt70_mNGS,fosfomycin thiol transferase,ARO:3003209,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,fluoroquinolone antibiotic; phosphonic acid antibiotic; aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.2857,98.56,Klebsiella pneumoniae (chromosome or plasmid),2.0,ARO:3003209|ID:112|Name:fosA5|NCBI:KP143090.1,16.19,0.32,,15750638,0.13,0.02
kdpD,App2_pt70_mNGS,kdpDE,ARO:3004047,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,3,Nudged,21.5576,98.945,,24.0,ARO:3004047|ID:5918|Name:kdpD|NCBI:FHDU01000010.1,47.63,1.08,,15750638,1.52,0.07
leuO,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003843,nucleoside antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; nucleoside antibiotic,antibiotic efflux,protein homolog,0,,,,,9.0,ARO:3003843|ID:5921|Name:leuO|NCBI:LR730402.1,20.32,0.45,,15750638,0.57,0.03
lnuA,App2_pt70_mNGS,lincosamide nucleotidyltransferase (LNU),ARO:3002835,lincosamide antibiotic,lincosamide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,46.2963,98.67,Unknown taxonomy (chromosome or plasmid),20.0,ARO:3002835|ID:27|Name:lnuA|NCBI:M14039.1,72.02,3.69,,15750638,1.27,0.23
lsaA,App2_pt70_mNGS,lsa-type ABC-F protein,ARO:3000300,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; pleuromutilin antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,ARO:3000300|ID:1298|Name:lsaA|NCBI:AY225127.1,30.59,0.55,Enterococcus faecalis (chromosome): 4; ,15750638,0.38,0.03
mdtA,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000792,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,15.0,ARO:3000792|ID:387|Name:mdtA|NCBI:U00096.1,24.44,0.06,,15750638,0.95,0.0
mdtB,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000793,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,51.0,ARO:3000793|ID:820|Name:mdtB|NCBI:U00096.1,55.33,1.37,,15750638,3.24,0.09
mdtC,App2_pt70_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000794,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,46.0,ARO:3000794|ID:1315|Name:mdtC|NCBI:U00096.1,45.74,1.27,,15750638,2.92,0.08
mdtG,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001329,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic efflux,protein homolog,0,,,,,8.0,ARO:3001329|ID:603|Name:mdtG|NCBI:CP000800.1,9.7,0.23,,15750638,0.51,0.01
mdtH,App2_pt70_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001216,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,1.0,ARO:3001216|ID:375|Name:mdtH|NCBI:U00096.1,6.7,0.07,,15750638,0.06,0.0
mecA,App2_pt70_mNGS,methicillin resistant PBP2,ARO:3000617,penam,beta-lactam antibiotic,antibiotic target replacement,protein homolog,0,,,,,4.0,ARO:3000617|ID:1321|Name:mecA|NCBI:KC243783.1,9.12,0.18,,15750638,0.25,0.01
mepA,App2_pt70_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000026,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,19.6903,100.0,Staphylococcus aureus (chromosome or plasmid),16.0,ARO:3000026|ID:377|Name:mepA|NCBI:AY661734.1,64.45,1.22,Staphylococcus aureus (chromosome or plasmid): 6; ,15750638,1.02,0.08
mepR,App2_pt70_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000746,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3000746|ID:856|Name:mepR|NCBI:BA000017.4,11.19,0.22,,15750638,0.13,0.01
